Date : 2024-07-20 01:06:24
Directory : /home/copi143/代码/Plant-OS
Total : 4976 files,  1440650 codes, 334737 comments, 246939 blanks, all 2022326 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| apps/sdl2_old/src/audio/jack                                                                       |          2 |        339 |         70 |         80 |        489 |
| apps/sdl2_old/src/audio/nacl                                                                       |          2 |        115 |         55 |         40 |        210 |
| apps/sdl2_old/src/audio/nas                                                                        |          2 |        383 |         67 |         71 |        521 |
| apps/sdl2_old/src/audio/netbsd                                                                     |          2 |        261 |         63 |         59 |        383 |
| apps/sdl2_old/src/audio/openslES                                                                   |          2 |        530 |        148 |        136 |        814 |
| apps/sdl2_old/src/audio/paudio                                                                     |          2 |        356 |        149 |         61 |        566 |
| apps/sdl2_old/src/audio/psp                                                                        |          2 |        124 |         70 |         34 |        228 |
| apps/sdl2_old/src/audio/pulseaudio                                                                 |          2 |        629 |         90 |        117 |        836 |
| apps/sdl2_old/src/audio/qsa                                                                        |          2 |        504 |        129 |         92 |        725 |
| apps/sdl2_old/src/audio/sndio                                                                      |          2 |        302 |         60 |         71 |        433 |
| apps/sdl2_old/src/audio/sun                                                                        |          2 |        324 |         86 |         58 |        468 |
| apps/sdl2_old/src/audio/wasapi                                                                     |          4 |      1,162 |        202 |        255 |      1,619 |
| apps/sdl2_old/src/audio/winmm                                                                      |          2 |        355 |         69 |         79 |        503 |
| apps/sdl2_old/src/core                                                                             |         33 |     11,601 |      1,420 |      1,507 |     14,528 |
| apps/sdl2_old/src/core/android                                                                     |          3 |      2,309 |        315 |        502 |      3,126 |
| apps/sdl2_old/src/core/linux                                                                       |         17 |      8,031 |        566 |        698 |      9,295 |
| apps/sdl2_old/src/core/unix                                                                        |          2 |         56 |         44 |         23 |        123 |
| apps/sdl2_old/src/core/windows                                                                     |          5 |        459 |        175 |        106 |        740 |
| apps/sdl2_old/src/core/winrt                                                                       |          6 |        746 |        320 |        178 |      1,244 |
| apps/sdl2_old/src/cpuinfo                                                                          |          1 |        879 |         46 |         77 |      1,002 |
| apps/sdl2_old/src/dynapi                                                                           |          5 |      1,844 |        194 |         98 |      2,136 |
| apps/sdl2_old/src/events                                                                           |         26 |      5,045 |        888 |        761 |      6,694 |
| apps/sdl2_old/src/file                                                                             |          3 |        773 |        103 |        147 |      1,023 |
| apps/sdl2_old/src/file (Files)                                                                     |          1 |        743 |         54 |        132 |        929 |
| apps/sdl2_old/src/file/cocoa                                                                       |          2 |         30 |         49 |         15 |         94 |
| apps/sdl2_old/src/filesystem                                                                       |          9 |        743 |        247 |        175 |      1,165 |
| apps/sdl2_old/src/filesystem/android                                                               |          1 |         29 |         24 |         10 |         63 |
| apps/sdl2_old/src/filesystem/cocoa                                                                 |          1 |         90 |         32 |         17 |        139 |
| apps/sdl2_old/src/filesystem/dummy                                                                 |          1 |         17 |         23 |          8 |         48 |
| apps/sdl2_old/src/filesystem/emscripten                                                            |          1 |         45 |         23 |         14 |         82 |
| apps/sdl2_old/src/filesystem/haiku                                                                 |          1 |         70 |         24 |         17 |        111 |
| apps/sdl2_old/src/filesystem/nacl                                                                  |          1 |         17 |         21 |          6 |         44 |
| apps/sdl2_old/src/filesystem/unix                                                                  |          1 |        180 |         41 |         30 |        251 |
| apps/sdl2_old/src/filesystem/windows                                                               |          1 |        127 |         31 |         35 |        193 |
| apps/sdl2_old/src/filesystem/winrt                                                                 |          1 |        168 |         28 |         38 |        234 |
| apps/sdl2_old/src/haptic                                                                           |         15 |      4,440 |      1,209 |      1,082 |      6,731 |
| apps/sdl2_old/src/haptic (Files)                                                                   |          3 |        612 |        307 |        178 |      1,097 |
| apps/sdl2_old/src/haptic/android                                                                   |          2 |        274 |         33 |         75 |        382 |
| apps/sdl2_old/src/haptic/darwin                                                                    |          2 |        986 |        234 |        234 |      1,454 |
| apps/sdl2_old/src/haptic/dummy                                                                     |          1 |        122 |         21 |         44 |        187 |
| apps/sdl2_old/src/haptic/linux                                                                     |          1 |        726 |        237 |        212 |      1,175 |
| apps/sdl2_old/src/haptic/windows                                                                   |          6 |      1,720 |        377 |        339 |      2,436 |
| apps/sdl2_old/src/hidapi                                                                           |         22 |      6,810 |      1,287 |      1,413 |      9,510 |
| apps/sdl2_old/src/hidapi (Files)                                                                   |          1 |        640 |         35 |         78 |        753 |
| apps/sdl2_old/src/hidapi/android                                                                   |          4 |        987 |         57 |        177 |      1,221 |
| apps/sdl2_old/src/hidapi/android (Files)                                                           |          2 |        975 |         57 |        169 |      1,201 |
| apps/sdl2_old/src/hidapi/android/jni                                                               |          2 |         12 |          0 |          8 |         20 |
| apps/sdl2_old/src/hidapi/hidapi                                                                    |          1 |         64 |        312 |         33 |        409 |
| apps/sdl2_old/src/hidapi/hidtest                                                                   |          1 |        128 |         37 |         30 |        195 |
| apps/sdl2_old/src/hidapi/ios                                                                       |          1 |        708 |         65 |        143 |        916 |
| apps/sdl2_old/src/hidapi/libusb                                                                    |          2 |      1,184 |        211 |        234 |      1,629 |
| apps/sdl2_old/src/hidapi/linux                                                                     |          3 |        905 |        148 |        184 |      1,237 |
| apps/sdl2_old/src/hidapi/mac                                                                       |          1 |        807 |        158 |        213 |      1,178 |
| apps/sdl2_old/src/hidapi/testgui                                                                   |          6 |        631 |        104 |        147 |        882 |
| apps/sdl2_old/src/hidapi/windows                                                                   |          2 |        756 |        160 |        174 |      1,090 |
| apps/sdl2_old/src/hidapi/windows (Files)                                                           |          1 |        731 |        146 |        163 |      1,040 |
| apps/sdl2_old/src/hidapi/windows/ddk_build                                                         |          1 |         25 |         14 |         11 |         50 |
| apps/sdl2_old/src/joystick                                                                         |         44 |     17,135 |      2,281 |      3,038 |     22,454 |
| apps/sdl2_old/src/joystick (Files)                                                                 |          8 |      4,636 |        642 |        672 |      5,950 |
| apps/sdl2_old/src/joystick/android                                                                 |          2 |        584 |         82 |        111 |        777 |
| apps/sdl2_old/src/joystick/bsd                                                                     |          1 |        672 |         37 |         76 |        785 |
| apps/sdl2_old/src/joystick/darwin                                                                  |          2 |        899 |         87 |        161 |      1,147 |
| apps/sdl2_old/src/joystick/dummy                                                                   |          1 |         84 |         22 |         21 |        127 |
| apps/sdl2_old/src/joystick/emscripten                                                              |          2 |        322 |         68 |         90 |        480 |
| apps/sdl2_old/src/joystick/haiku                                                                   |          1 |        185 |         55 |         44 |        284 |
| apps/sdl2_old/src/joystick/hidapi                                                                  |         13 |      5,634 |        668 |      1,066 |      7,368 |
| apps/sdl2_old/src/joystick/hidapi (Files)                                                          |         11 |      5,058 |        595 |        974 |      6,627 |
| apps/sdl2_old/src/joystick/hidapi/steam                                                            |          2 |        576 |         73 |         92 |        741 |
| apps/sdl2_old/src/joystick/iphoneos                                                                |          2 |        690 |         90 |        144 |        924 |
| apps/sdl2_old/src/joystick/linux                                                                   |          2 |        934 |         97 |        175 |      1,206 |
| apps/sdl2_old/src/joystick/psp                                                                     |          1 |        168 |         59 |         38 |        265 |
| apps/sdl2_old/src/joystick/steam                                                                   |          2 |         35 |         42 |         16 |         93 |
| apps/sdl2_old/src/joystick/windows                                                                 |          7 |      2,292 |        332 |        424 |      3,048 |
| apps/sdl2_old/src/libm                                                                             |         22 |      1,590 |      1,279 |        238 |      3,107 |
| apps/sdl2_old/src/loadso                                                                           |          3 |        117 |         76 |         33 |        226 |
| apps/sdl2_old/src/loadso/dlopen                                                                    |          1 |         53 |         24 |         13 |         90 |
| apps/sdl2_old/src/loadso/dummy                                                                     |          1 |         22 |         24 |          9 |         55 |
| apps/sdl2_old/src/loadso/windows                                                                   |          1 |         42 |         28 |         11 |         81 |
| apps/sdl2_old/src/main                                                                             |         10 |        614 |        218 |        171 |      1,003 |
| apps/sdl2_old/src/main/android                                                                     |          1 |          0 |          6 |          2 |          8 |
| apps/sdl2_old/src/main/dummy                                                                       |          1 |         18 |          6 |          5 |         29 |
| apps/sdl2_old/src/main/haiku                                                                       |          3 |        408 |        106 |        103 |        617 |
| apps/sdl2_old/src/main/nacl                                                                        |          1 |         48 |         31 |         15 |         94 |
| apps/sdl2_old/src/main/psp                                                                         |          1 |         43 |         14 |         14 |         71 |
| apps/sdl2_old/src/main/uikit                                                                       |          1 |         10 |          5 |          5 |         20 |
| apps/sdl2_old/src/main/windows                                                                     |          1 |         70 |         18 |         21 |        109 |
| apps/sdl2_old/src/main/winrt                                                                       |          1 |         17 |         32 |          6 |         55 |
| apps/sdl2_old/src/power                                                                            |         12 |      1,057 |        313 |        235 |      1,605 |
| apps/sdl2_old/src/power (Files)                                                                    |          2 |         96 |         53 |         18 |        167 |
| apps/sdl2_old/src/power/android                                                                    |          1 |         35 |         21 |          9 |         65 |
| apps/sdl2_old/src/power/emscripten                                                                 |          1 |         29 |         21 |         13 |         63 |
| apps/sdl2_old/src/power/haiku                                                                      |          1 |         84 |         26 |         19 |        129 |
| apps/sdl2_old/src/power/linux                                                                      |          1 |        514 |         43 |         93 |        650 |
| apps/sdl2_old/src/power/macosx                                                                     |          1 |        134 |         29 |         30 |        193 |
| apps/sdl2_old/src/power/psp                                                                        |          1 |         36 |         21 |         12 |         69 |
| apps/sdl2_old/src/power/uikit                                                                      |          2 |         74 |         49 |         24 |        147 |
| apps/sdl2_old/src/power/windows                                                                    |          1 |         43 |         23 |         11 |         77 |
| apps/sdl2_old/src/power/winrt                                                                      |          1 |         12 |         27 |          6 |         45 |
| apps/sdl2_old/src/render                                                                           |         45 |     25,758 |      2,456 |      2,989 |     31,203 |
| apps/sdl2_old/src/render (Files)                                                                   |          6 |      3,514 |        267 |        584 |      4,365 |
| apps/sdl2_old/src/render/direct3d                                                                  |          3 |      1,688 |        242 |        269 |      2,199 |
| apps/sdl2_old/src/render/direct3d11                                                                |          5 |      3,649 |        730 |        376 |      4,755 |
| apps/sdl2_old/src/render/metal                                                                     |          5 |      7,065 |        122 |        293 |      7,480 |
| apps/sdl2_old/src/render/opengl                                                                    |          4 |      2,382 |        200 |        300 |      2,882 |
| apps/sdl2_old/src/render/opengles                                                                  |          2 |      1,093 |         64 |        183 |      1,340 |
| apps/sdl2_old/src/render/opengles2                                                                 |          4 |      2,377 |        191 |        332 |      2,900 |
| apps/sdl2_old/src/render/psp                                                                       |          1 |        815 |         47 |        198 |      1,060 |
| apps/sdl2_old/src/render/software                                                                  |         15 |      3,175 |        593 |        454 |      4,222 |
| apps/sdl2_old/src/sensor                                                                           |          9 |        839 |        294 |        215 |      1,348 |
| apps/sdl2_old/src/sensor (Files)                                                                   |          3 |        414 |        161 |        128 |        703 |
| apps/sdl2_old/src/sensor/android                                                                   |          2 |        161 |         47 |         36 |        244 |
| apps/sdl2_old/src/sensor/coremotion                                                                |          2 |        191 |         44 |         31 |        266 |
| apps/sdl2_old/src/sensor/dummy                                                                     |          2 |         73 |         42 |         20 |        135 |
| apps/sdl2_old/src/stdlib                                                                           |          7 |      7,163 |      2,372 |        814 |     10,349 |
| apps/sdl2_old/src/test                                                                             |         16 |     11,140 |      1,640 |        774 |     13,554 |
| apps/sdl2_old/src/thread                                                                           |         33 |      2,636 |      1,053 |        548 |      4,237 |
| apps/sdl2_old/src/thread (Files)                                                                   |          3 |        469 |        125 |         85 |        679 |
| apps/sdl2_old/src/thread/generic                                                                   |          7 |        434 |        232 |        100 |        766 |
| apps/sdl2_old/src/thread/psp                                                                       |          6 |        373 |        213 |        101 |        687 |
| apps/sdl2_old/src/thread/pthread                                                                   |          7 |        637 |        195 |        115 |        947 |
| apps/sdl2_old/src/thread/stdcpp                                                                    |          5 |        308 |        150 |         57 |        515 |
| apps/sdl2_old/src/thread/windows                                                                   |          5 |        415 |        138 |         90 |        643 |
| apps/sdl2_old/src/timer                                                                            |          9 |        795 |        272 |        193 |      1,260 |
| apps/sdl2_old/src/timer (Files)                                                                    |          2 |        272 |         82 |         61 |        415 |
| apps/sdl2_old/src/timer/bookos                                                                     |          1 |         52 |         22 |         15 |         89 |
| apps/sdl2_old/src/timer/dummy                                                                      |          1 |         42 |         21 |         13 |         76 |
| apps/sdl2_old/src/timer/haiku                                                                      |          1 |         44 |         22 |         15 |         81 |
| apps/sdl2_old/src/timer/plos                                                                       |          1 |         38 |         22 |         14 |         74 |
| apps/sdl2_old/src/timer/psp                                                                        |          1 |         55 |         22 |         15 |         92 |
| apps/sdl2_old/src/timer/unix                                                                       |          1 |        168 |         37 |         27 |        232 |
| apps/sdl2_old/src/timer/windows                                                                    |          1 |        124 |         44 |         33 |        201 |
| apps/sdl2_old/src/video                                                                            |        365 |    134,253 |     14,674 |     21,550 |    170,477 |
| apps/sdl2_old/src/video (Files)                                                                    |         34 |     25,722 |      2,448 |      2,727 |     30,897 |
| apps/sdl2_old/src/video/android                                                                    |         20 |      1,378 |        507 |        326 |      2,211 |
| apps/sdl2_old/src/video/arm                                                                        |          3 |      1,674 |        402 |        181 |      2,257 |
| apps/sdl2_old/src/video/cocoa                                                                      |         28 |      4,868 |      1,206 |      1,121 |      7,195 |
| apps/sdl2_old/src/video/directfb                                                                   |         20 |      3,787 |        603 |        840 |      5,230 |
| apps/sdl2_old/src/video/dummy                                                                      |          6 |        151 |        153 |         68 |        372 |
| apps/sdl2_old/src/video/emscripten                                                                 |         10 |      1,272 |        306 |        296 |      1,874 |
| apps/sdl2_old/src/video/haiku                                                                      |         19 |      1,980 |        589 |        500 |      3,069 |
| apps/sdl2_old/src/video/khronos                                                                    |         25 |     59,974 |        845 |      8,816 |     69,635 |
| apps/sdl2_old/src/video/khronos/EGL                                                                |          3 |      1,362 |        138 |        179 |      1,679 |
| apps/sdl2_old/src/video/khronos/GLES2                                                              |          3 |      3,833 |         98 |        290 |      4,221 |
| apps/sdl2_old/src/video/khronos/KHR                                                                |          1 |        101 |        156 |         28 |        285 |
| apps/sdl2_old/src/video/khronos/vulkan                                                             |         18 |     54,678 |        453 |      8,319 |     63,450 |
| apps/sdl2_old/src/video/kmsdrm                                                                     |         11 |      1,492 |        344 |        376 |      2,212 |
| apps/sdl2_old/src/video/nacl                                                                       |          9 |        699 |        230 |        145 |      1,074 |
| apps/sdl2_old/src/video/offscreen                                                                  |         10 |        311 |        235 |        139 |        685 |
| apps/sdl2_old/src/video/pandora                                                                    |          4 |        689 |        171 |        146 |      1,006 |
| apps/sdl2_old/src/video/plos                                                                       |          4 |        542 |        756 |         99 |      1,397 |
| apps/sdl2_old/src/video/psp                                                                        |          8 |        686 |        232 |        175 |      1,093 |
| apps/sdl2_old/src/video/qnx                                                                        |          4 |        496 |        231 |        107 |        834 |
| apps/sdl2_old/src/video/raspberry                                                                  |          8 |        772 |        239 |        191 |      1,202 |
| apps/sdl2_old/src/video/uikit                                                                      |         27 |      3,289 |        939 |        833 |      5,061 |
| apps/sdl2_old/src/video/vivante                                                                    |          8 |        571 |        210 |        143 |        924 |
| apps/sdl2_old/src/video/wayland                                                                    |         21 |      4,018 |        680 |        926 |      5,624 |
| apps/sdl2_old/src/video/windows                                                                    |         30 |      7,701 |      1,093 |      1,177 |      9,971 |
| apps/sdl2_old/src/video/winrt                                                                      |         14 |      1,810 |        764 |        366 |      2,940 |
| apps/sdl2_old/src/video/x11                                                                        |         37 |      8,883 |      1,407 |      1,559 |     11,849 |
| apps/sdl2_old/src/video/yuv2rgb                                                                    |          5 |      1,488 |         84 |        293 |      1,865 |
| apps/setup1                                                                                        |          2 |        288 |          1 |          6 |        295 |
| apps/snake                                                                                         |          2 |         60 |          0 |          3 |         63 |
| apps/sort                                                                                          |          2 |         61 |          2 |          2 |         65 |
| apps/stamon                                                                                        |         82 |      7,865 |      1,169 |      2,310 |     11,344 |
| apps/stamon (Files)                                                                                |          2 |         93 |         13 |         23 |        129 |
| apps/stamon/doc                                                                                    |         25 |      1,367 |         63 |        654 |      2,084 |
| apps/stamon/doc (Files)                                                                            |         11 |        491 |          7 |        253 |        751 |
| apps/stamon/doc/工作日志                                                                               |         14 |        876 |         56 |        401 |      1,333 |
| apps/stamon/include                                                                                |         26 |      1,249 |        317 |        361 |      1,927 |
| apps/stamon/include/stdc_implemented                                                               |         14 |      1,033 |        188 |        248 |      1,469 |
| apps/stamon/include/template                                                                       |         12 |        216 |        129 |        113 |        458 |
| apps/stamon/logo                                                                                   |          1 |         58 |          0 |          0 |         58 |
| apps/stamon/src                                                                                    |         24 |      4,820 |        730 |      1,209 |      6,759 |
| apps/stamon/src (Files)                                                                            |          2 |        365 |         57 |        135 |        557 |
| apps/stamon/src/ast                                                                                |          5 |        532 |         62 |         93 |        687 |
| apps/stamon/src/compiler                                                                           |          3 |      1,472 |        235 |        335 |      2,042 |
| apps/stamon/src/data_type                                                                          |          9 |        222 |         84 |         33 |        339 |
| apps/stamon/src/ir                                                                                 |          2 |        474 |         98 |        158 |        730 |
| apps/stamon/src/sfn                                                                                |          1 |        228 |         12 |         82 |        322 |
| apps/stamon/src/vm                                                                                 |          2 |      1,527 |        182 |        373 |      2,082 |
| apps/stamon/test                                                                                   |          4 |        278 |         46 |         63 |        387 |
| apps/stamon/test (Files)                                                                           |          1 |         66 |         15 |         16 |         97 |
| apps/stamon/test/lexer                                                                             |          1 |         41 |          1 |          8 |         50 |
| apps/stamon/test/parser                                                                            |          1 |         90 |         15 |         21 |        126 |
| apps/stamon/test/preprocessor                                                                      |          1 |         81 |         15 |         18 |        114 |
| apps/tcc                                                                                           |         39 |     35,429 |      4,183 |      3,894 |     43,506 |
| apps/tcc (Files)                                                                                   |          2 |         14 |          0 |          2 |         16 |
| apps/tcc/tcc                                                                                       |         37 |     35,415 |      4,183 |      3,892 |     43,490 |
| apps/tccinst                                                                                       |          2 |         94 |          0 |          2 |         96 |
| apps/ttf                                                                                           |          2 |        136 |          3 |          6 |        145 |
| apps/uname                                                                                         |          2 |         84 |          0 |          3 |         87 |
| apps/zlib                                                                                          |         16 |      6,478 |      2,069 |        979 |      9,526 |
| chat                                                                                               |          2 |         78 |          8 |         14 |        100 |
| doc                                                                                                |          3 |        292 |          0 |        104 |        396 |
| fattools                                                                                           |          1 |      1,480 |        139 |         19 |      1,638 |
| include                                                                                            |          2 |        585 |        153 |        109 |        847 |
| kernel                                                                                             |        140 |     22,834 |      3,383 |      1,374 |     27,591 |
| kernel (Files)                                                                                     |          1 |        204 |          8 |         16 |        228 |
| kernel/boot                                                                                        |          3 |        718 |          0 |         43 |        761 |
| kernel/cmd                                                                                         |          5 |        754 |        866 |         22 |      1,642 |
| kernel/dos                                                                                         |         28 |      5,007 |        423 |        215 |      5,645 |
| kernel/dos/asm                                                                                     |          5 |      1,115 |          0 |         53 |      1,168 |
| kernel/dos/cpu                                                                                     |          2 |        103 |         13 |          6 |        122 |
| kernel/dos/hal                                                                                     |          1 |         59 |          1 |          0 |         60 |
| kernel/dos/init                                                                                    |          3 |        170 |        136 |         19 |        325 |
| kernel/dos/mm                                                                                      |          2 |        932 |         61 |         47 |      1,040 |
| kernel/dos/syscall                                                                                 |          1 |        652 |         45 |          7 |        704 |
| kernel/dos/task                                                                                    |          6 |      1,238 |         73 |         51 |      1,362 |
| kernel/dos/tools                                                                                   |          8 |        738 |         94 |         32 |        864 |
| kernel/drivers                                                                                     |         23 |      3,940 |        654 |        393 |      4,987 |
| kernel/fs                                                                                          |         10 |      3,667 |        188 |        127 |      3,982 |
| kernel/include                                                                                     |         22 |      2,132 |        290 |        127 |      2,549 |
| kernel/include (Files)                                                                             |         21 |      2,055 |        285 |        111 |      2,451 |
| kernel/include/sys                                                                                 |          1 |         77 |          5 |         16 |         98 |
| kernel/io                                                                                          |         10 |      2,061 |        242 |        101 |      2,404 |
| kernel/mst                                                                                         |          3 |        936 |         39 |         16 |        991 |
| kernel/net                                                                                         |         13 |      1,242 |         58 |         22 |      1,322 |
| kernel/res                                                                                         |         19 |      1,381 |        311 |        203 |      1,895 |
| kernel/std                                                                                         |          3 |        792 |        304 |         89 |      1,185 |
| libtcc1                                                                                            |          1 |        473 |         72 |         97 |        642 |
| loader                                                                                             |         51 |      6,437 |        587 |        476 |      7,500 |
| loader/base                                                                                        |          7 |      1,282 |         84 |        123 |      1,489 |
| loader/driver                                                                                      |         10 |      1,824 |        335 |        201 |      2,360 |
| loader/fs                                                                                          |          3 |      2,281 |         65 |         31 |      2,377 |
| loader/include                                                                                     |         31 |      1,050 |        103 |        121 |      1,274 |
| loader/include (Files)                                                                             |          6 |        134 |         32 |          5 |        171 |
| loader/include/ELF                                                                                 |          4 |        117 |         14 |         21 |        152 |
| loader/include/dosldr                                                                              |         20 |        724 |         57 |         81 |        862 |
| loader/include/sys                                                                                 |          1 |         75 |          0 |         14 |         89 |
| netgobang                                                                                          |          1 |        471 |          7 |         17 |        495 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                           | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/copi143/代码/Plant-OS/.clang-format                                                            | YAML           |        230 |        312 |          4 |        546 |
| /home/copi143/代码/Plant-OS/.clang-tidy                                                              | YAML           |          7 |          0 |          1 |          8 |
| /home/copi143/代码/Plant-OS/Makefile                                                                 | Makefile       |          7 |          0 |          1 |          8 |
| /home/copi143/代码/Plant-OS/README.md                                                                | Markdown       |         68 |          0 |         38 |        106 |
| /home/copi143/代码/Plant-OS/apps/Makefile                                                            | Makefile       |         67 |          0 |          2 |         69 |
| /home/copi143/代码/Plant-OS/apps/Maze/Makefile                                                       | Makefile       |         13 |          0 |          1 |         14 |
| /home/copi143/代码/Plant-OS/apps/Maze/Maze.c                                                         | C              |        169 |          7 |         36 |        212 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG.c                                                    | C              |        220 |         35 |         33 |        288 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_WIC.c                                                | C              |        241 |         32 |         36 |        309 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_bmp.c                                                | C              |        766 |        116 |         76 |        958 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_gif.c                                                | C              |        497 |         58 |         89 |        644 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_jpg.c                                                | C              |        410 |         99 |         81 |        590 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_lbm.c                                                | C              |        368 |         58 |         75 |        501 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_pcx.c                                                | C              |        230 |         46 |         24 |        300 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_png.c                                                | C              |        529 |         96 |         77 |        702 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_pnm.c                                                | C              |        181 |         55 |         25 |        261 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_svg.c                                                | C              |        113 |         29 |         19 |        161 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_tga.c                                                | C              |        252 |         45 |         39 |        336 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_tif.c                                                | C              |        170 |         34 |         38 |        242 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_webp.c                                               | C              |        214 |         36 |         42 |        292 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_xcf.c                                                | C              |        781 |         35 |        133 |        949 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_xpm.c                                                | C              |      1,078 |         82 |         51 |      1,211 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/IMG_xv.c                                                 | C              |        108 |         34 |         21 |        163 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/Makefile                                                 | Makefile       |          8 |          0 |          4 |         12 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/SDL_image.h                                              | C              |         82 |         58 |         22 |        162 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/miniz.h                                                  | C              |      3,786 |        521 |        636 |      4,943 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/nanosvg.h                                                | C              |      2,505 |        187 |        345 |      3,037 |
| /home/copi143/代码/Plant-OS/apps/SDL2_image/nanosvgrast.h                                            | C              |      1,076 |        166 |        209 |      1,451 |
| /home/copi143/代码/Plant-OS/apps/SDL2_ttf/Makefile                                                   | Makefile       |          4 |          0 |          3 |          7 |
| /home/copi143/代码/Plant-OS/apps/SDL2_ttf/SDL_ttf.c                                                  | C              |      3,309 |        385 |        572 |      4,266 |
| /home/copi143/代码/Plant-OS/apps/SDL2_ttf/SDL_ttf.h                                                  | C              |        190 |      2,017 |        112 |      2,319 |
| /home/copi143/代码/Plant-OS/apps/aigobang/Makefile                                                   | Makefile       |         13 |          0 |          1 |         14 |
| /home/copi143/代码/Plant-OS/apps/aigobang/aigobang.c                                                 | C              |      2,153 |        160 |         29 |      2,342 |
